latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-21.12607,31.79291,320.05,1.26,1.12,2024-07-04,0739,Terra,MODIS,76,6.1NRT,295.6,19.11,D
-19.98472,32.97994,321.1,1.33,1.14,2024-07-04,1157,Aqua,MODIS,73,6.1NRT,296.44,24.46,D
-19.56075,29.55718,317.22,2.3,1.47,2024-07-04,1157,Aqua,MODIS,63,6.1NRT,305.4,21.22,D
-19.42996,30.61212,314.09,1.91,1.35,2024-07-04,1157,Aqua,MODIS,46,6.1NRT,303.89,11.65,D
-19.40591,30.60919,316.13,1.91,1.35,2024-07-04,1157,Aqua,MODIS,35,6.1NRT,303.94,18.97,D
-19.26225,30.48636,313.71,1.94,1.36,2024-07-04,1157,Aqua,MODIS,52,6.1NRT,303.13,13.61,D
-18.99435,32.51683,316.56,1.38,1.16,2024-07-04,1157,Aqua,MODIS,65,6.1NRT,305.12,11.34,D
-18.99598,32.50382,323.4,1.39,1.17,2024-07-04,1157,Aqua,MODIS,76,6.1NRT,306.21,21.7,D
-18.90039,32.61484,334.3,1.36,1.15,2024-07-04,1157,Aqua,MODIS,86,6.1NRT,302.86,44.57,D
-18.68243,32.8863,316.38,1.3,1.13,2024-07-04,1157,Aqua,MODIS,67,6.1NRT,299.65,16.09,D
-18.68385,32.87522,311.48,1.3,1.13,2024-07-04,1157,Aqua,MODIS,53,6.1NRT,298.03,11.26,D
-18.57147,31.58501,315.09,1.58,1.24,2024-07-04,1157,Aqua,MODIS,63,6.1NRT,304.61,12.95,D
-18.3138,32.74116,318.95,1.31,1.14,2024-07-04,1157,Aqua,MODIS,70,6.1NRT,296.12,21.64,D
-18.34948,32.37471,317.48,1.39,1.17,2024-07-04,1157,Aqua,MODIS,67,6.1NRT,301.33,15.73,D
-18.46176,31.17335,315.12,1.68,1.27,2024-07-04,1157,Aqua,MODIS,61,6.1NRT,304.67,11.79,D
-18.35294,31.60328,312.65,1.56,1.23,2024-07-04,1157,Aqua,MODIS,50,6.1NRT,301.72,9.48,D
-18.21397,32.57412,316,1.34,1.15,2024-07-04,1157,Aqua,MODIS,20,6.1NRT,303.53,9.66,D
-18.12276,32.80164,313.85,1.29,1.13,2024-07-04,1157,Aqua,MODIS,56,6.1NRT,296.9,12.94,D
-18.12429,32.78968,326.65,1.3,1.13,2024-07-04,1157,Aqua,MODIS,79,6.1NRT,299.39,31.39,D
-18.00183,31.19221,317.1,1.65,1.26,2024-07-04,1200,Aqua,MODIS,54,6.1NRT,302.05,15.53,D
-18.00373,31.17681,316.91,1.65,1.26,2024-07-04,1200,Aqua,MODIS,58,6.1NRT,304.13,14.86,D
-17.94656,31.54694,319.65,1.55,1.23,2024-07-04,1200,Aqua,MODIS,68,6.1NRT,302.9,19.14,D
-17.93862,31.33779,313.15,1.61,1.25,2024-07-04,1200,Aqua,MODIS,41,6.1NRT,302.74,12.82,D
-17.83364,32.10537,325.82,1.42,1.18,2024-07-04,1200,Aqua,MODIS,77,6.1NRT,304.65,27.08,D
-18.00053,30.14855,315.33,1.97,1.37,2024-07-04,1200,Aqua,MODIS,51,6.1NRT,304.56,15.56,D
-18.00265,30.13034,315.47,1.98,1.37,2024-07-04,1200,Aqua,MODIS,55,6.1NRT,304.53,14.78,D
-17.86048,31.13762,320.97,1.66,1.27,2024-07-04,1200,Aqua,MODIS,70,6.1NRT,303.83,24.49,D
-17.90186,30.68662,318.24,1.79,1.31,2024-07-04,1200,Aqua,MODIS,64,6.1NRT,305.42,18.84,D
-17.79908,31.26111,332.23,1.62,1.25,2024-07-04,1200,Aqua,MODIS,83,6.1NRT,304.32,50.02,D
-17.73147,31.44633,323.54,1.57,1.23,2024-07-04,1200,Aqua,MODIS,64,6.1NRT,304.85,25.09,D
-17.7332,31.43201,318.95,1.57,1.24,2024-07-04,1200,Aqua,MODIS,62,6.1NRT,305.08,16.98,D
-17.79344,30.66047,317.45,1.79,1.31,2024-07-04,1200,Aqua,MODIS,59,6.1NRT,303.59,20.46,D
-17.74044,30.99861,322.27,1.69,1.28,2024-07-04,1200,Aqua,MODIS,72,6.1NRT,304.58,27.01,D
-17.64568,31.31065,318.21,1.6,1.25,2024-07-04,1200,Aqua,MODIS,0,6.1NRT,302.82,16.55,D
-17.73117,30.58457,326.57,1.81,1.32,2024-07-04,1200,Aqua,MODIS,66,6.1NRT,305.62,37.79,D
-17.60074,31.64812,316.42,1.51,1.21,2024-07-04,1200,Aqua,MODIS,59,6.1NRT,304.58,11.95,D
-17.64279,31.31826,317.58,1.6,1.24,2024-07-04,1200,Aqua,MODIS,62,6.1NRT,303.77,14.29,D
-17.72367,30.57669,319.89,1.81,1.32,2024-07-04,1200,Aqua,MODIS,55,6.1NRT,304.39,21.8,D
-17.52131,31.5796,317.21,1.53,1.22,2024-07-04,1200,Aqua,MODIS,61,6.1NRT,305.52,12.25,D
-17.61024,30.36589,317.82,1.87,1.34,2024-07-04,1200,Aqua,MODIS,63,6.1NRT,303.52,20.92,D
-17.61229,30.34851,344.07,1.88,1.34,2024-07-04,1200,Aqua,MODIS,92,6.1NRT,304.92,109.37,D
-17.52802,30.95759,322.88,1.69,1.28,2024-07-04,1200,Aqua,MODIS,72,6.1NRT,304.68,30.5,D
-17.58218,30.50193,342.4,1.83,1.32,2024-07-04,1200,Aqua,MODIS,91,6.1NRT,304.59,94.41,D
-17.39769,31.93399,322.69,1.44,1.19,2024-07-04,1200,Aqua,MODIS,72,6.1NRT,306.11,19.94,D
-17.57041,30.50032,337.67,1.83,1.32,2024-07-04,1200,Aqua,MODIS,87,6.1NRT,302.82,74.12,D
-17.57238,30.48346,384.71,1.83,1.33,2024-07-04,1200,Aqua,MODIS,100,6.1NRT,308.43,399.76,D
